name,genre,email,location,nonprofit_interest,instagram,artist_bio,nonprofit_reasoning
Iris Ramirez,Hip-Hop,irisramirez@gmail.com,"Chicago, IL",Animal Welfare,iris_ramirez,"Iris Ramirez represents the evolving Hip-Hop scene in Chicago, IL, delivering thought-provoking lyrics over innovative beats that reflect both local culture and universal experiences. Their artistic approach combines traditional hip-hop elements with experimental production techniques, creating a distinctive sound that resonates with diverse audiences. Through music, Iris Ramirez addresses social issues, personal growth, and community empowerment with authenticity and skill.","Iris Ramirez is deeply committed to animal welfare because they believe artists have a unique responsibility to use their platform for positive social impact, particularly in addressing critical issues like wildlife conservation. Their personal experiences and observations of community needs have strengthened their conviction that music can be a powerful force for awareness, healing, and mobilization around important causes. Through partnerships with nonprofits working on wildlife conservation, Iris Ramirez hopes to contribute meaningfully to creating positive change while inspiring others to get involved in their communities."
Sofia Evans,Hip-Hop,sofia.evans@yahoo.com,"Evanston, IL",LGBTQ+ Rights,sofia_sounds,"Sofia Evans represents the evolving Hip-Hop scene in Evanston, IL, delivering thought-provoking lyrics over innovative beats that reflect both local culture and universal experiences. Their artistic approach combines traditional hip-hop elements with experimental production techniques, creating a distinctive sound that resonates with diverse audiences. Through music, Sofia Evans addresses social issues, personal growth, and community empowerment with authenticity and skill.","Sofia Evans is deeply committed to lgbtq+ rights because they believe artists have a unique responsibility to use their platform for positive social impact, particularly in addressing critical issues like youth support. Their personal experiences and observations of community needs have strengthened their conviction that music can be a powerful force for awareness, healing, and mobilization around important causes. Through partnerships with nonprofits working on youth support, Sofia Evans hopes to contribute meaningfully to creating positive change while inspiring others to get involved in their communities."
Tyler Ward,Hip-Hop,tyler_ward@outlook.com,"Evanston, IL",LGBTQ+ Rights,tyler.ward,"Tyler Ward represents the evolving Hip-Hop scene in Evanston, IL, delivering thought-provoking lyrics over innovative beats that reflect both local culture and universal experiences. Their artistic approach combines traditional hip-hop elements with experimental production techniques, creating a distinctive sound that resonates with diverse audiences. Through music, Tyler Ward addresses social issues, personal growth, and community empowerment with authenticity and skill.","Tyler Ward is deeply committed to lgbtq+ rights because they believe artists have a unique responsibility to use their platform for positive social impact, particularly in addressing critical issues like marriage equality. Their personal experiences and observations of community needs have strengthened their conviction that music can be a powerful force for awareness, healing, and mobilization around important causes. Through partnerships with nonprofits working on marriage equality, Tyler Ward hopes to contribute meaningfully to creating positive change while inspiring others to get involved in their communities."
Isabella Gray,Hip-Hop,gray.isabella@hotmail.com,"Schaumburg, IL",Animal Welfare,gray_music,"Isabella Gray represents the evolving Hip-Hop scene in Schaumburg, IL, delivering thought-provoking lyrics over innovative beats that reflect both local culture and universal experiences. Their artistic approach combines traditional hip-hop elements with experimental production techniques, creating a distinctive sound that resonates with diverse audiences. Through music, Isabella Gray addresses social issues, personal growth, and community empowerment with authenticity and skill.","Isabella Gray is deeply committed to animal welfare because they believe artists have a unique responsibility to use their platform for positive social impact, particularly in addressing critical issues like farm animal protection. Their personal experiences and observations of community needs have strengthened their conviction that music can be a powerful force for awareness, healing, and mobilization around important causes. Through partnerships with nonprofits working on farm animal protection, Isabella Gray hopes to contribute meaningfully to creating positive change while inspiring others to get involved in their communities."
Harper Clark,Hip-Hop,harper.clark@gmail.com,"Champaign, IL",Disability Rights,harperclark,"Based in Champaign, IL, Harper Clark uses Hip-Hop as a platform for storytelling, social commentary, and cultural expression that bridges generational and demographic divides. Their work features sophisticated wordplay, compelling narratives, and production that incorporates both classic and contemporary influences. Harper Clark is committed to using their artistic voice to uplift communities and inspire positive social change through powerful, conscious music.","Harper Clark is deeply committed to disability rights because they believe artists have a unique responsibility to use their platform for positive social impact, particularly in addressing critical issues like assistive technology. Their personal experiences and observations of community needs have strengthened their conviction that music can be a powerful force for awareness, healing, and mobilization around important causes. Through partnerships with nonprofits working on assistive technology, Harper Clark hopes to contribute meaningfully to creating positive change while inspiring others to get involved in their communities."
Quinton Walker,R&B,quinton.walker.music@hotmail.com,"Rockford, IL",Racial Equity,quintonwalker_artist,"Based in Rockford, IL, Quinton Walker creates r&b music that combines artistic excellence with social consciousness, performing for audiences who appreciate both technical skill and meaningful content. Their compositions reflect the diversity and complexity of modern American life while honoring musical traditions and pushing creative boundaries. Quinton Walker is dedicated to using their platform to promote understanding, justice, and positive change through powerful, authentic musical expression.","Quinton Walker is deeply committed to racial equity because they believe artists have a unique responsibility to use their platform for positive social impact, particularly in addressing critical issues like educational opportunity gaps. Their personal experiences and observations of community needs have strengthened their conviction that music can be a powerful force for awareness, healing, and mobilization around important causes. Through partnerships with nonprofits working on educational opportunity gaps, Quinton Walker hopes to contribute meaningfully to creating positive change while inspiring others to get involved in their communities."
Logan Bennett,R&B,bennett.logan@outlook.com,"Urbana, IL",Environmental Conservation,logan_sounds,"Logan Bennett is a r&b artist from Urbana, IL who creates innovative music that blends traditional elements with contemporary influences and socially conscious themes. Their artistic vision encompasses both technical excellence and emotional authenticity, resulting in performances that connect deeply with diverse audiences across the Midwest. Through their music, Logan Bennett explores themes of community, identity, and social justice while maintaining artistic integrity and creative innovation.","Logan Bennett became passionate about environmental conservation after witnessing the environmental changes affecting the Great Lakes region and understanding how wetland restoration directly impacts their local community. Their music often incorporates themes of environmental stewardship, and they believe artists have a responsibility to use their platform to raise awareness about urgent ecological issues. Through partnerships with nonprofits focused on wetland restoration, Logan Bennett hopes to inspire audiences to take meaningful action for environmental protection."
River Peterson,R&B,river.peterson@outlook.com,"Rockford, IL",Homelessness Prevention,river.peterson,"River Peterson is a r&b artist from Rockford, IL who creates innovative music that blends traditional elements with contemporary influences and socially conscious themes. Their artistic vision encompasses both technical excellence and emotional authenticity, resulting in performances that connect deeply with diverse audiences across the Midwest. Through their music, River Peterson explores themes of community, identity, and social justice while maintaining artistic integrity and creative innovation.","River Peterson is deeply committed to homelessness prevention because they believe artists have a unique responsibility to use their platform for positive social impact, particularly in addressing critical issues like veteran support. Their personal experiences and observations of community needs have strengthened their conviction that music can be a powerful force for awareness, healing, and mobilization around important causes. Through partnerships with nonprofits working on veteran support, River Peterson hopes to contribute meaningfully to creating positive change while inspiring others to get involved in their communities."
Hayden Sanders,R&B,hayden_sanders@outlook.com,"Rockford, IL",Community Development,hayden.sanders,"Hayden Sanders is a r&b artist from Rockford, IL who creates innovative music that blends traditional elements with contemporary influences and socially conscious themes. Their artistic vision encompasses both technical excellence and emotional authenticity, resulting in performances that connect deeply with diverse audiences across the Midwest. Through their music, Hayden Sanders explores themes of community, identity, and social justice while maintaining artistic integrity and creative innovation.","Hayden Sanders is deeply committed to community development because they believe artists have a unique responsibility to use their platform for positive social impact, particularly in addressing critical issues like small business support. Their personal experiences and observations of community needs have strengthened their conviction that music can be a powerful force for awareness, healing, and mobilization around important causes. Through partnerships with nonprofits working on small business support, Hayden Sanders hopes to contribute meaningfully to creating positive change while inspiring others to get involved in their communities."
Natalia Wood,R&B,natalia.wood.music@gmail.com,"Schaumburg, IL",Environmental Conservation,nataliawood,"Based in Schaumburg, IL, Natalia Wood creates r&b music that combines artistic excellence with social consciousness, performing for audiences who appreciate both technical skill and meaningful content. Their compositions reflect the diversity and complexity of modern American life while honoring musical traditions and pushing creative boundaries. Natalia Wood is dedicated to using their platform to promote understanding, justice, and positive change through powerful, authentic musical expression.","Natalia Wood became passionate about environmental conservation after witnessing the environmental changes affecting the Great Lakes region and understanding how plastic pollution reduction directly impacts their local community. Their music often incorporates themes of environmental stewardship, and they believe artists have a responsibility to use their platform to raise awareness about urgent ecological issues. Through partnerships with nonprofits focused on plastic pollution reduction, Natalia Wood hopes to inspire audiences to take meaningful action for environmental protection."
Ximena Phillips,Jazz,ximena_phillips@icloud.com,"Urbana, IL",Youth Development,ximenaphillips,"Ximena Phillips is a jazz artist from Urbana, IL who creates innovative music that blends traditional elements with contemporary influences and socially conscious themes. Their artistic vision encompasses both technical excellence and emotional authenticity, resulting in performances that connect deeply with diverse audiences across the Midwest. Through their music, Ximena Phillips explores themes of community, identity, and social justice while maintaining artistic integrity and creative innovation.","Ximena Phillips is deeply committed to youth development because they believe artists have a unique responsibility to use their platform for positive social impact, particularly in addressing critical issues like mentorship programs. Their personal experiences and observations of community needs have strengthened their conviction that music can be a powerful force for awareness, healing, and mobilization around important causes. Through partnerships with nonprofits working on mentorship programs, Ximena Phillips hopes to contribute meaningfully to creating positive change while inspiring others to get involved in their communities."
Fernando Howard,Jazz,fernando_howard@hotmail.com,"Oak Park, IL",Social Justice,fernando.howard,"Fernando Howard is a jazz artist from Oak Park, IL who creates innovative music that blends traditional elements with contemporary influences and socially conscious themes. Their artistic vision encompasses both technical excellence and emotional authenticity, resulting in performances that connect deeply with diverse audiences across the Midwest. Through their music, Fernando Howard explores themes of community, identity, and social justice while maintaining artistic integrity and creative innovation.","Having witnessed the impact of voting rights in their community, Fernando Howard is driven to support social justice organizations that work toward creating more equitable systems and opportunities. They believe music has the unique ability to build empathy, bridge divides, and mobilize people around shared values of fairness and human dignity. Fernando Howard seeks partnerships with nonprofits that align with their vision of using artistic expression to advance social justice and community healing."
Dean Myers,Jazz,myers.dean@yahoo.com,"Naperville, IL",Racial Equity,musician_dean,"Performing throughout Naperville, IL and the broader region, Dean Myers brings a unique perspective to jazz music through thoughtful composition and engaging live performances. Their work demonstrates technical skill, creative vision, and commitment to using music as a vehicle for positive social impact and community connection. Dean Myers draws inspiration from the rich cultural landscape of the Midwest while addressing contemporary issues and universal human experiences.","Dean Myers is deeply committed to racial equity because they believe artists have a unique responsibility to use their platform for positive social impact, particularly in addressing critical issues like criminal justice disparities. Their personal experiences and observations of community needs have strengthened their conviction that music can be a powerful force for awareness, healing, and mobilization around important causes. Through partnerships with nonprofits working on criminal justice disparities, Dean Myers hopes to contribute meaningfully to creating positive change while inspiring others to get involved in their communities."
Will Powell,Jazz,powell.will@hotmail.com,"Evanston, IL",Immigration Rights,willpowell,"Based in Evanston, IL, Will Powell creates jazz music that combines artistic excellence with social consciousness, performing for audiences who appreciate both technical skill and meaningful content. Their compositions reflect the diversity and complexity of modern American life while honoring musical traditions and pushing creative boundaries. Will Powell is dedicated to using their platform to promote understanding, justice, and positive change through powerful, authentic musical expression.","Will Powell is deeply committed to immigration rights because they believe artists have a unique responsibility to use their platform for positive social impact, particularly in addressing critical issues like refugee resettlement. Their personal experiences and observations of community needs have strengthened their conviction that music can be a powerful force for awareness, healing, and mobilization around important causes. Through partnerships with nonprofits working on refugee resettlement, Will Powell hopes to contribute meaningfully to creating positive change while inspiring others to get involved in their communities."
Harper Taylor,Jazz,taylor.harper@icloud.com,"Peoria, IL",Healthcare Access,harper_taylor,"Based in Peoria, IL, Harper Taylor creates jazz music that combines artistic excellence with social consciousness, performing for audiences who appreciate both technical skill and meaningful content. Their compositions reflect the diversity and complexity of modern American life while honoring musical traditions and pushing creative boundaries. Harper Taylor is dedicated to using their platform to promote understanding, justice, and positive change through powerful, authentic musical expression.","Harper Taylor is deeply committed to healthcare access because they believe artists have a unique responsibility to use their platform for positive social impact, particularly in addressing critical issues like preventive care. Their personal experiences and observations of community needs have strengthened their conviction that music can be a powerful force for awareness, healing, and mobilization around important causes. Through partnerships with nonprofits working on preventive care, Harper Taylor hopes to contribute meaningfully to creating positive change while inspiring others to get involved in their communities."
Harper Anderson,Country,harper_anderson@gmail.com,"Schaumburg, IL",Social Justice,harper_anderson_music,"Performing throughout Schaumburg, IL and the broader region, Harper Anderson brings a unique perspective to country music through thoughtful composition and engaging live performances. Their work demonstrates technical skill, creative vision, and commitment to using music as a vehicle for positive social impact and community connection. Harper Anderson draws inspiration from the rich cultural landscape of the Midwest while addressing contemporary issues and universal human experiences.","Having witnessed the impact of police reform in their community, Harper Anderson is driven to support social justice organizations that work toward creating more equitable systems and opportunities. They believe music has the unique ability to build empathy, bridge divides, and mobilize people around shared values of fairness and human dignity. Harper Anderson seeks partnerships with nonprofits that align with their vision of using artistic expression to advance social justice and community healing."
Cameron Diaz,Country,cameron.diaz.music@yahoo.com,"Peoria, IL",Youth Development,cameron.diaz,"Cameron Diaz is a country artist from Peoria, IL who creates innovative music that blends traditional elements with contemporary influences and socially conscious themes. Their artistic vision encompasses both technical excellence and emotional authenticity, resulting in performances that connect deeply with diverse audiences across the Midwest. Through their music, Cameron Diaz explores themes of community, identity, and social justice while maintaining artistic integrity and creative innovation.","Cameron Diaz is deeply committed to youth development because they believe artists have a unique responsibility to use their platform for positive social impact, particularly in addressing critical issues like job skills training. Their personal experiences and observations of community needs have strengthened their conviction that music can be a powerful force for awareness, healing, and mobilization around important causes. Through partnerships with nonprofits working on job skills training, Cameron Diaz hopes to contribute meaningfully to creating positive change while inspiring others to get involved in their communities."
Jake Gomez,Country,jake.gomez.music@yahoo.com,"Urbana, IL",Youth Development,jakegomez,"Jake Gomez is a country artist from Urbana, IL who creates innovative music that blends traditional elements with contemporary influences and socially conscious themes. Their artistic vision encompasses both technical excellence and emotional authenticity, resulting in performances that connect deeply with diverse audiences across the Midwest. Through their music, Jake Gomez explores themes of community, identity, and social justice while maintaining artistic integrity and creative innovation.","Jake Gomez is deeply committed to youth development because they believe artists have a unique responsibility to use their platform for positive social impact, particularly in addressing critical issues like leadership development. Their personal experiences and observations of community needs have strengthened their conviction that music can be a powerful force for awareness, healing, and mobilization around important causes. Through partnerships with nonprofits working on leadership development, Jake Gomez hopes to contribute meaningfully to creating positive change while inspiring others to get involved in their communities."
Victor Peterson,Country,victor.peterson.music@hotmail.com,"Urbana, IL",Immigration Rights,victor_peterson_music,"Performing throughout Urbana, IL and the broader region, Victor Peterson brings a unique perspective to country music through thoughtful composition and engaging live performances. Their work demonstrates technical skill, creative vision, and commitment to using music as a vehicle for positive social impact and community connection. Victor Peterson draws inspiration from the rich cultural landscape of the Midwest while addressing contemporary issues and universal human experiences.","Victor Peterson is deeply committed to immigration rights because they believe artists have a unique responsibility to use their platform for positive social impact, particularly in addressing critical issues like refugee resettlement. Their personal experiences and observations of community needs have strengthened their conviction that music can be a powerful force for awareness, healing, and mobilization around important causes. Through partnerships with nonprofits working on refugee resettlement, Victor Peterson hopes to contribute meaningfully to creating positive change while inspiring others to get involved in their communities."
Quinn Rivera,Country,quinn_rivera@yahoo.com,"Rockford, IL",Healthcare Access,quinn_rivera,"Based in Rockford, IL, Quinn Rivera creates country music that combines artistic excellence with social consciousness, performing for audiences who appreciate both technical skill and meaningful content. Their compositions reflect the diversity and complexity of modern American life while honoring musical traditions and pushing creative boundaries. Quinn Rivera is dedicated to using their platform to promote understanding, justice, and positive change through powerful, authentic musical expression.","Quinn Rivera is deeply committed to healthcare access because they believe artists have a unique responsibility to use their platform for positive social impact, particularly in addressing critical issues like preventive care. Their personal experiences and observations of community needs have strengthened their conviction that music can be a powerful force for awareness, healing, and mobilization around important causes. Through partnerships with nonprofits working on preventive care, Quinn Rivera hopes to contribute meaningfully to creating positive change while inspiring others to get involved in their communities."
Rosa Clark,Electronic,rosaclark@hotmail.com,"Urbana, IL",Racial Equity,rosa_clark,"Performing throughout Urbana, IL and the broader region, Rosa Clark brings a unique perspective to electronic music through thoughtful composition and engaging live performances. Their work demonstrates technical skill, creative vision, and commitment to using music as a vehicle for positive social impact and community connection. Rosa Clark draws inspiration from the rich cultural landscape of the Midwest while addressing contemporary issues and universal human experiences.","Rosa Clark is deeply committed to racial equity because they believe artists have a unique responsibility to use their platform for positive social impact, particularly in addressing critical issues like criminal justice disparities. Their personal experiences and observations of community needs have strengthened their conviction that music can be a powerful force for awareness, healing, and mobilization around important causes. Through partnerships with nonprofits working on criminal justice disparities, Rosa Clark hopes to contribute meaningfully to creating positive change while inspiring others to get involved in their communities."
Quinn Bennett,Electronic,bennett.quinn@gmail.com,"Evanston, IL",Education Equity,quinnbennett,"Based in Evanston, IL, Quinn Bennett creates electronic music that combines artistic excellence with social consciousness, performing for audiences who appreciate both technical skill and meaningful content. Their compositions reflect the diversity and complexity of modern American life while honoring musical traditions and pushing creative boundaries. Quinn Bennett is dedicated to using their platform to promote understanding, justice, and positive change through powerful, authentic musical expression.","Recognizing the transformative power of education and the persistent inequalities in educational access, particularly around music program funding, Quinn Bennett is committed to supporting organizations that work to level the playing field for all students. They believe that music and arts education are essential components of a well-rounded education and can provide young people with critical thinking skills, creative expression, and confidence. Quinn Bennett seeks to partner with nonprofits that share their vision of educational justice and opportunity for all."
Sage Cook,Electronic,sage_cook@hotmail.com,"Champaign, IL",Senior Care,sage_cook_music,"Sage Cook is a electronic artist from Champaign, IL who creates innovative music that blends traditional elements with contemporary influences and socially conscious themes. Their artistic vision encompasses both technical excellence and emotional authenticity, resulting in performances that connect deeply with diverse audiences across the Midwest. Through their music, Sage Cook explores themes of community, identity, and social justice while maintaining artistic integrity and creative innovation.","Sage Cook is deeply committed to senior care because they believe artists have a unique responsibility to use their platform for positive social impact, particularly in addressing critical issues like elder abuse prevention. Their personal experiences and observations of community needs have strengthened their conviction that music can be a powerful force for awareness, healing, and mobilization around important causes. Through partnerships with nonprofits working on elder abuse prevention, Sage Cook hopes to contribute meaningfully to creating positive change while inspiring others to get involved in their communities."
Iris Anderson,Electronic,iris.anderson.music@outlook.com,"Rockford, IL",LGBTQ+ Rights,anderson_music,"Based in Rockford, IL, Iris Anderson creates electronic music that combines artistic excellence with social consciousness, performing for audiences who appreciate both technical skill and meaningful content. Their compositions reflect the diversity and complexity of modern American life while honoring musical traditions and pushing creative boundaries. Iris Anderson is dedicated to using their platform to promote understanding, justice, and positive change through powerful, authentic musical expression.","Iris Anderson is deeply committed to lgbtq+ rights because they believe artists have a unique responsibility to use their platform for positive social impact, particularly in addressing critical issues like youth support. Their personal experiences and observations of community needs have strengthened their conviction that music can be a powerful force for awareness, healing, and mobilization around important causes. Through partnerships with nonprofits working on youth support, Iris Anderson hopes to contribute meaningfully to creating positive change while inspiring others to get involved in their communities."
Victor Barnes,Electronic,victor_barnes@outlook.com,"Chicago, IL",Senior Care,victor_barnes,"Victor Barnes is a electronic artist from Chicago, IL who creates innovative music that blends traditional elements with contemporary influences and socially conscious themes. Their artistic vision encompasses both technical excellence and emotional authenticity, resulting in performances that connect deeply with diverse audiences across the Midwest. Through their music, Victor Barnes explores themes of community, identity, and social justice while maintaining artistic integrity and creative innovation.","Victor Barnes is deeply committed to senior care because they believe artists have a unique responsibility to use their platform for positive social impact, particularly in addressing critical issues like Medicare advocacy. Their personal experiences and observations of community needs have strengthened their conviction that music can be a powerful force for awareness, healing, and mobilization around important causes. Through partnerships with nonprofits working on Medicare advocacy, Victor Barnes hopes to contribute meaningfully to creating positive change while inspiring others to get involved in their communities."
Kyle Brooks,Indie,kyle.brooks@gmail.com,"Rockford, IL",Climate Change Action,kylebrooks_artist,"Performing throughout Rockford, IL and the broader region, Kyle Brooks brings a unique perspective to indie music through thoughtful composition and engaging live performances. Their work demonstrates technical skill, creative vision, and commitment to using music as a vehicle for positive social impact and community connection. Kyle Brooks draws inspiration from the rich cultural landscape of the Midwest while addressing contemporary issues and universal human experiences.","Kyle Brooks is deeply committed to climate change action because they believe artists have a unique responsibility to use their platform for positive social impact, particularly in addressing critical issues like green building initiatives. Their personal experiences and observations of community needs have strengthened their conviction that music can be a powerful force for awareness, healing, and mobilization around important causes. Through partnerships with nonprofits working on green building initiatives, Kyle Brooks hopes to contribute meaningfully to creating positive change while inspiring others to get involved in their communities."
Dean Walker,Indie,dean_walker@gmail.com,"Evanston, IL",Climate Change Action,deanwalker,"Based in Evanston, IL, Dean Walker creates indie music that combines artistic excellence with social consciousness, performing for audiences who appreciate both technical skill and meaningful content. Their compositions reflect the diversity and complexity of modern American life while honoring musical traditions and pushing creative boundaries. Dean Walker is dedicated to using their platform to promote understanding, justice, and positive change through powerful, authentic musical expression.","Dean Walker is deeply committed to climate change action because they believe artists have a unique responsibility to use their platform for positive social impact, particularly in addressing critical issues like carbon footprint reduction. Their personal experiences and observations of community needs have strengthened their conviction that music can be a powerful force for awareness, healing, and mobilization around important causes. Through partnerships with nonprofits working on carbon footprint reduction, Dean Walker hopes to contribute meaningfully to creating positive change while inspiring others to get involved in their communities."
